"Id","Any","Mes","Dia","DiaDeLaSetmana","Hora_enter","Lloc_interes","Latitud","Longitud","Max_Nivell_LAeq_1h","Min_Nivell_LAeq_1h","Nivell_LAeq_1h","Categoria_Nivell"
215,2023,1,1,"diumenge",23,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","63.2",4
216,2023,1,1,"diumenge",23,"Sagrada Familia","41.404484","2.174691","91.4","46.5","70.8",6
217,2023,1,2,"dilluns",0,"Rambla","41.378242","2.175112","88.1","50.2","63.2",4
218,2023,1,2,"dilluns",0,"Torre Agbar","41.402124","2.184799","80.8","53.4","64.9",5
219,2023,1,2,"dilluns",0,"El Molino","41.37485","2.166773","87.6","60.1","65.1",2
220,2023,1,2,"dilluns",0,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7",50,3
221,2023,1,2,"dilluns",0,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","65.4",5
222,2023,1,2,"dilluns",0,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","56.1",4
223,2023,1,2,"dilluns",0,"Mercat del Born","41.387076","2.180426","91.7","39.7","58.7",4
224,2023,1,2,"dilluns",0,"Plaça de Joanic",41406,"2.162636","90.8","53.1","62.2",3
225,2023,1,2,"dilluns",0,"Sagrada Familia","41.404484","2.174691","91.4","46.5","60.1",4
226,2023,1,2,"dilluns",1,"Rambla","41.378242","2.175112","88.1","50.2","61.5",3
227,2023,1,2,"dilluns",1,"Sagrada Familia","41.404484","2.174691","91.4","46.5","57.9",3
228,2023,1,2,"dilluns",1,"Mercat del Born","41.387076","2.180426","91.7","39.7","53.3",3
229,2023,1,2,"dilluns",1,"El Molino","41.37485","2.166773","87.6","60.1","65.4",2
230,2023,1,2,"dilluns",1,"Torre Agbar","41.402124","2.184799","80.8","53.4","58.1",2
231,2023,1,2,"dilluns",1,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","61.3",5
232,2023,1,2,"dilluns",1,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","52.5",4
233,2023,1,2,"dilluns",1,"Plaça de Joanic",41406,"2.162636","90.8","53.1","59.3",2
234,2023,1,2,"dilluns",1,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","54.3",3
235,2023,1,2,"dilluns",2,"Rambla","41.378242","2.175112","88.1","50.2","65.5",5
236,2023,1,2,"dilluns",2,"Torre Agbar","41.402124","2.184799","80.8","53.4","57.1",2
237,2023,1,2,"dilluns",2,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7",42,2
238,2023,1,2,"dilluns",2,"Mercat del Born","41.387076","2.180426","91.7","39.7","48.9",2
239,2023,1,2,"dilluns",2,"El Molino","41.37485","2.166773","87.6","60.1","69.5",4
240,2023,1,2,"dilluns",2,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","59.1",5
241,2023,1,2,"dilluns",2,"Sagrada Familia","41.404484","2.174691","91.4","46.5","50.6",1
242,2023,1,2,"dilluns",2,"Plaça de Joanic",41406,"2.162636","90.8","53.1","58.1",2
243,2023,1,2,"dilluns",2,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","57.8",3
244,2023,1,2,"dilluns",3,"Plaça de Joanic",41406,"2.162636","90.8","53.1","55.8",1
245,2023,1,2,"dilluns",3,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","47.8",1
246,2023,1,2,"dilluns",3,"Mercat del Born","41.387076","2.180426","91.7","39.7","59.9",4
247,2023,1,2,"dilluns",3,"Sagrada Familia","41.404484","2.174691","91.4","46.5","47.6",1
248,2023,1,2,"dilluns",3,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","62.6",5
249,2023,1,2,"dilluns",3,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","52.6",4
250,2023,1,2,"dilluns",3,"Rambla","41.378242","2.175112","88.1","50.2","68.3",5
251,2023,1,2,"dilluns",3,"El Molino","41.37485","2.166773","87.6","60.1","66.9",3
