Suma de Any,Suma de Categoria_Nivell,Suma de Dia,DiaDeLaSetmana,Hora,Recompte de Id,Latitud,Lloc_interes,Id_Instal,Longitud,Suma de Max_Nivell_LAeq_1h,Suma de Mes,Suma de Min_Nivell_LAeq_1h,Suma de Nivell_LAeq_1h
95081,99,719,dilluns,1899-12-30 07:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2776.600000000001
101150,147,773,dilluns,1899-12-30 08:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3338.1000000000004
101150,164,773,dilluns,1899-12-30 08:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2916.5000000000014
103173,157,793,dilluns,1899-12-30 08:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2964.799999999999
95081,114,719,dilluns,1899-12-30 08:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2847.600000000001
101150,161,773,dilluns,1899-12-30 09:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3386.9000000000005
101150,182,773,dilluns,1899-12-30 09:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2990.8000000000006
103173,161,793,dilluns,1899-12-30 09:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2998.9999999999986
95081,161,719,dilluns,1899-12-30 09:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3016.3000000000006
101150,182,773,dilluns,1899-12-30 10:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3430.100000000001
101150,198,773,dilluns,1899-12-30 10:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3079.899999999999
103173,197,793,dilluns,1899-12-30 10:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3132.8000000000006
95081,171,719,dilluns,1899-12-30 10:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3059.2999999999997
101150,197,773,dilluns,1899-12-30 11:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3470.9999999999995
101150,212,773,dilluns,1899-12-30 11:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3195.4
103173,227,793,dilluns,1899-12-30 11:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3286.4000000000005
95081,187,719,dilluns,1899-12-30 11:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3097.0000000000005
101150,207,773,dilluns,1899-12-30 12:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3495.8999999999996
101150,236,773,dilluns,1899-12-30 12:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3281.8999999999996
103173,246,793,dilluns,1899-12-30 12:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3352.7
95081,195,719,dilluns,1899-12-30 12:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3120.3
101150,204,773,dilluns,1899-12-30 13:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3510.1000000000004
